,UF,REGIAO,SEXO,IDADE,COR,ALFABETIZADO,ESCOLA_CRECHE,CURSO,APOSENTADO,APOSENTADORIA,VALOR_APOSENTADORIA,PEA,SAL_MIN,HORAS_TRABALHO,REND_MEN_TOT,SIT_CENSITARIA,ANOS_ESTUDO
1218,11,Norte,4,70,4,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,2
1219,11,Norte,2,75,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1220,11,Norte,2,60,8,3,4,,2.0,1.0,724.0,1.0,0,3.0,1324.0,1,1
1223,11,Norte,4,74,8,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,8,1
1230,11,Norte,2,68,2,1,4,,2.0,1.0,724.0,1.0,0,5.0,2748.0,8,9
1234,11,Norte,2,64,4,1,4,,2.0,1.0,724.0,1.0,0,1.0,1224.0,8,1
1235,11,Norte,4,67,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
1239,11,Norte,4,65,2,3,4,,2.0,1.0,720.0,1.0,0,2.0,1420.0,8,1
1253,11,Norte,2,67,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,4
1254,11,Norte,4,66,4,1,4,,2.0,1.0,740.0,2.0,0,,740.0,1,6
1263,11,Norte,4,69,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
1267,11,Norte,4,78,8,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
1305,11,Norte,2,66,8,1,4,,2.0,1.0,1119.0,2.0,0,,1119.0,1,5
1315,11,Norte,2,38,8,1,2,2.0,2.0,1.0,724.0,2.0,0,,724.0,1,11
1349,11,Norte,2,63,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1359,11,Norte,2,41,8,1,4,,2.0,1.0,700.0,2.0,0,,700.0,1,3
1373,11,Norte,2,34,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,10
1389,11,Norte,2,65,8,1,4,,2.0,1.0,1440.0,2.0,0,,1440.0,1,4
1395,11,Norte,2,62,8,1,4,,2.0,1.0,724.0,1.0,0,3.0,1448.0,1,8
1402,11,Norte,2,73,4,1,4,,2.0,1.0,3700.0,2.0,0,,3700.0,1,1
1403,11,Norte,4,79,8,1,4,,2.0,1.0,3000.0,2.0,0,,3000.0,1,5
1409,11,Norte,4,66,8,1,4,,2.0,1.0,724.0,1.0,0,2.0,1058.0,1,9
1463,11,Norte,4,63,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,6
1485,11,Norte,4,76,2,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,5
1501,11,Norte,4,70,8,1,4,,2.0,1.0,3620.0,2.0,0,,4344.0,1,9
1505,11,Norte,4,55,4,1,4,,2.0,1.0,5200.0,2.0,0,,5200.0,1,16
1513,11,Norte,2,72,2,1,4,,2.0,1.0,724.0,1.0,0,2.0,974.0,1,4
1514,11,Norte,4,66,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
1555,11,Norte,4,61,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,3
1576,11,Norte,2,48,8,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
1616,11,Norte,4,81,8,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
1617,11,Norte,2,46,4,1,4,,2.0,1.0,1100.0,2.0,0,,1100.0,1,9
1644,11,Norte,4,79,8,3,4,,2.0,1.0,800.0,2.0,0,,800.0,8,1
1651,11,Norte,2,60,2,1,4,,2.0,1.0,724.0,1.0,0,3.0,1524.0,8,5
1652,11,Norte,4,57,2,3,4,,2.0,1.0,724.0,2.0,0,,766.0,8,1
1657,11,Norte,2,65,4,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
1658,11,Norte,4,57,4,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,4
1674,11,Norte,2,63,8,1,4,,2.0,1.0,724.0,1.0,0,1.0,1724.0,8,2
1675,11,Norte,4,60,4,1,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,2
1683,11,Norte,4,86,2,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,8,1
1684,11,Norte,2,60,2,1,4,,2.0,1.0,724.0,1.0,0,3.0,4724.0,8,6
1685,11,Norte,4,57,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,4
1686,11,Norte,2,76,8,3,4,,2.0,1.0,724.0,1.0,0,5.0,1924.0,8,1
1762,11,Norte,4,63,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,16
1774,11,Norte,4,82,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,5
1780,11,Norte,2,44,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,4
1801,11,Norte,2,72,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1802,11,Norte,4,72,8,3,4,,2.0,1.0,724.0,1.0,0,2.0,1124.0,1,1
1807,11,Norte,4,58,4,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,9
1827,11,Norte,2,65,8,1,4,,2.0,1.0,724.0,1.0,0,5.0,7724.0,1,13
1829,11,Norte,2,69,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1839,11,Norte,2,51,8,1,4,,2.0,1.0,1085.0,2.0,0,,1085.0,1,6
1843,11,Norte,4,60,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1844,11,Norte,2,68,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1913,11,Norte,4,57,2,1,4,,2.0,1.0,4000.0,2.0,0,,4000.0,1,16
1961,11,Norte,4,68,8,1,4,,2.0,1.0,999999999999.0,2.0,0,,999999999999.0,1,1
1974,11,Norte,4,58,8,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,5
1985,11,Norte,4,84,2,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,9
2004,11,Norte,4,67,4,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
